na_base_id,start_scan,end_scan
NL-HaNA_1.04.02_10323,1,366
NL-HaNA_1.04.02_10324,1,304
NL-HaNA_1.04.02_10325,1,394
NL-HaNA_1.04.02_10326,1,594
NL-HaNA_1.04.02_10327,1,436
NL-HaNA_1.04.02_10328,1,500
NL-HaNA_1.04.02_10329,1,506
NL-HaNA_1.04.02_10330,1,392
NL-HaNA_1.04.02_10331,1,372
NL-HaNA_1.04.02_10332,1,552
NL-HaNA_1.04.02_10333,1,620
NL-HaNA_1.04.02_10334,1,628
NL-HaNA_1.04.02_10335,1,482
NL-HaNA_1.04.02_10336,1,762
NL-HaNA_1.04.02_10337,1,600
NL-HaNA_1.04.02_10338,1,632
NL-HaNA_1.04.02_10339,1,520
NL-HaNA_1.04.02_10340,1,528
NL-HaNA_1.04.02_10341,1,514
NL-HaNA_1.04.02_10342,1,514
NL-HaNA_1.04.02_10343,1,646
NL-HaNA_1.04.02_10344,1,472
NL-HaNA_1.04.02_10345,1,510
NL-HaNA_1.04.02_10346,1,526
NL-HaNA_1.04.02_10347,1,886
NL-HaNA_1.04.02_10348,1,1026
NL-HaNA_1.04.02_10349,1,802
NL-HaNA_1.04.02_10350,1,978
NL-HaNA_1.04.02_10351,1,120
NL-HaNA_1.04.02_10352,1,1078
NL-HaNA_1.04.02_10353,1,1150
NL-HaNA_1.04.02_10354,1,976
NL-HaNA_1.04.02_10355,1,882
NL-HaNA_1.04.02_10356,1,1294
NL-HaNA_1.04.02_10357,1,1426
NL-HaNA_1.04.02_10358,1,1838
NL-HaNA_1.04.02_10359,1,1364
NL-HaNA_1.04.02_10360,1,1042
NL-HaNA_1.04.02_10361,1,1056
NL-HaNA_1.04.02_10362,1,1284
NL-HaNA_1.04.02_10363,1,820
NL-HaNA_1.04.02_10364,1,1472
NL-HaNA_1.04.02_10365,1,1300
NL-HaNA_1.04.02_10366,1,1560
NL-HaNA_1.04.02_10367,1,1326
NL-HaNA_1.04.02_10368,1,1380
NL-HaNA_1.04.02_10369,1,496
NL-HaNA_1.04.02_10370,1,1490
NL-HaNA_1.04.02_10371,1,1116
NL-HaNA_1.04.02_10372,1,644
NL-HaNA_1.04.02_10373,1,634
NL-HaNA_1.04.02_10374,1,692
NL-HaNA_1.04.02_10375,1,1066
NL-HaNA_1.04.02_10376,1,618
NL-HaNA_1.04.02_10377,1,206
NL-HaNA_1.04.02_10378,1,508
NL-HaNA_1.04.02_10379,1,488
NL-HaNA_1.04.02_10380,1,704
NL-HaNA_1.04.02_10381,1,776
NL-HaNA_1.04.02_10382,1,630
NL-HaNA_1.04.02_10383,1,622
NL-HaNA_1.04.02_10384,1,996
NL-HaNA_1.04.02_10385,1,604
NL-HaNA_1.04.02_10386,1,540
NL-HaNA_1.04.02_10387,1,656
NL-HaNA_1.04.02_10388,1,520
NL-HaNA_1.04.02_10389,1,380
NL-HaNA_1.04.02_10390,1,466
NL-HaNA_1.04.02_10391,1,444
NL-HaNA_1.04.02_10392,1,450
NL-HaNA_1.04.02_10393,1,388
NL-HaNA_1.04.02_10394,1,586
NL-HaNA_1.04.02_10395,1,832
NL-HaNA_1.04.02_10396,1,508
NL-HaNA_1.04.02_10397,1,350
NL-HaNA_1.04.02_10398,1,372
NL-HaNA_1.04.02_10399,1,398
NL-HaNA_1.04.02_10400,1,576
NL-HaNA_1.04.02_10401,1,322
NL-HaNA_1.04.02_10402,1,438
NL-HaNA_1.04.02_10403,1,188
NL-HaNA_1.04.02_10404,1,146
NL-HaNA_1.04.02_10405,1,82
NL-HaNA_1.04.02_10406,1,858
NL-HaNA_1.04.02_10407,1,166
NL-HaNA_1.04.02_10408,1,416
NL-HaNA_1.04.02_10409,1,470
NL-HaNA_1.04.02_10410,1,324
NL-HaNA_1.04.02_10411,1,338
NL-HaNA_1.04.02_10412,1,216
NL-HaNA_1.04.02_10413,1,350
NL-HaNA_1.04.02_10414,1,372
NL-HaNA_1.04.02_10415,1,442
NL-HaNA_1.04.02_10416,1,518
NL-HaNA_1.04.02_10417,1,674
NL-HaNA_1.04.02_10418,1,438
NL-HaNA_1.04.02_10419,1,594
NL-HaNA_1.04.02_10420,1,196
NL-HaNA_1.04.02_10421,1,540
NL-HaNA_1.04.02_10422,1,364
NL-HaNA_1.04.02_10423,1,262
NL-HaNA_1.04.02_10424,1,700
NL-HaNA_1.04.02_10425,1,178
NL-HaNA_1.04.02_10426,1,312
NL-HaNA_1.04.02_10427,1,736
NL-HaNA_1.04.02_10428,1,890
NL-HaNA_1.04.02_10429,1,126
NL-HaNA_1.04.02_10430,1,364
NL-HaNA_1.04.02_10431,1,566
NL-HaNA_1.04.02_10432,1,502
NL-HaNA_1.04.02_10433,1,376
NL-HaNA_1.04.02_10434,1,706
NL-HaNA_1.04.02_10435,1,480
NL-HaNA_1.04.02_10436,1,1572
NL-HaNA_1.04.02_10437,1,1568
NL-HaNA_1.04.02_10439,1,942
NL-HaNA_1.04.02_10440,1,636
NL-HaNA_1.04.02_10441,1,482
NL-HaNA_1.04.02_10442,1,966
NL-HaNA_1.04.02_10443,1,226
NL-HaNA_1.04.02_10444,1,1006
NL-HaNA_1.04.02_10446,1,470
NL-HaNA_1.04.02_10447,1,712
NL-HaNA_1.04.02_10448,1,786
NL-HaNA_1.04.02_10449,1,682
NL-HaNA_1.04.02_10450,1,136
NL-HaNA_1.04.02_10451,1,1004
NL-HaNA_1.04.02_10452,1,1206
NL-HaNA_1.04.02_10453,1,628
NL-HaNA_1.04.02_10454,1,736
NL-HaNA_1.04.02_10455,1,1034
NL-HaNA_1.04.02_10456,1,520
NL-HaNA_1.04.02_10457,1,786
NL-HaNA_1.04.02_10458,1,742
NL-HaNA_1.04.02_10459,1,816
NL-HaNA_1.04.02_10460,1,392
NL-HaNA_1.04.02_10461,1,890
NL-HaNA_1.04.02_10462,1,666
NL-HaNA_1.04.02_10463,1,660
NL-HaNA_1.04.02_10464,1,1036
NL-HaNA_1.04.02_10465,1,442
NL-HaNA_1.04.02_10466,1,94
NL-HaNA_1.04.02_10467,1,604
NL-HaNA_1.04.02_10468,1,106
NL-HaNA_1.04.02_10469,1,52
NL-HaNA_1.04.02_10470,1,444
NL-HaNA_1.04.02_10471,1,338
NL-HaNA_1.04.02_10472,1,88
NL-HaNA_1.04.02_10473,1,56
NL-HaNA_1.04.02_10474,1,1144
NL-HaNA_1.04.02_10475,1,236
NL-HaNA_1.04.02_10476,1,692
NL-HaNA_1.04.02_10477,1,614
NL-HaNA_1.04.02_10478,1,572
NL-HaNA_1.04.02_10479,1,258
NL-HaNA_1.04.02_10480,1,90
NL-HaNA_1.04.02_10481,1,208
NL-HaNA_1.04.02_10482,1,510
NL-HaNA_1.04.02_10483,1,574
NL-HaNA_1.04.02_10484,1,578
NL-HaNA_1.04.02_10485,1,204
NL-HaNA_1.04.02_10486,1,196
NL-HaNA_1.04.02_10487,1,894
NL-HaNA_1.04.02_10488,1,230
NL-HaNA_1.04.02_10489,1,128
NL-HaNA_1.04.02_10490,1,88
NL-HaNA_1.04.02_10491,1,568
NL-HaNA_1.04.02_10492,1,166
NL-HaNA_1.04.02_10493,1,188
NL-HaNA_1.04.02_10494,1,442
NL-HaNA_1.04.02_10495,1,248
NL-HaNA_1.04.02_10496,1,660
NL-HaNA_1.04.02_10497,1,314
NL-HaNA_1.04.02_10498,1,556
NL-HaNA_1.04.02_10499,1,126
NL-HaNA_1.04.02_10500,1,720
NL-HaNA_1.04.02_10501,1,108
NL-HaNA_1.04.02_10502,1,236
NL-HaNA_1.04.02_10503,1,588
NL-HaNA_1.04.02_10504,1,102
NL-HaNA_1.04.02_10505,1,170
NL-HaNA_1.04.02_10506,1,88
NL-HaNA_1.04.02_10507,1,528
NL-HaNA_1.04.02_10508,1,112
NL-HaNA_1.04.02_10509,1,98
NL-HaNA_1.04.02_10510,1,648
NL-HaNA_1.04.02_10511,1,274
NL-HaNA_1.04.02_10512,1,782
NL-HaNA_1.04.02_10513,1,112
NL-HaNA_1.04.02_10514,1,100
NL-HaNA_1.04.02_10515,1,100
NL-HaNA_1.04.02_10516,1,480
NL-HaNA_1.04.02_10517,1,108
NL-HaNA_1.04.02_10518,1,52
NL-HaNA_1.04.02_10519,1,100
NL-HaNA_1.04.02_10520,1,652
NL-HaNA_1.04.02_10521,1,202
NL-HaNA_1.04.02_10522,1,124
NL-HaNA_1.04.02_10523,1,204
NL-HaNA_1.04.02_10524,1,292
NL-HaNA_1.04.02_10525,1,786
NL-HaNA_1.04.02_10526,1,80
NL-HaNA_1.04.02_10527,1,412
NL-HaNA_1.04.02_10528,1,84
NL-HaNA_1.04.02_10529,1,294
NL-HaNA_1.04.02_1053,1,1370
NL-HaNA_1.04.02_10530,1,192
NL-HaNA_1.04.02_10531,1,652
NL-HaNA_1.04.02_10532,1,252
NL-HaNA_1.04.02_10533,1,130
NL-HaNA_1.04.02_10534,1,122
NL-HaNA_1.04.02_10535,1,840
NL-HaNA_1.04.02_10536,1,264
NL-HaNA_1.04.02_10537,1,330
NL-HaNA_1.04.02_10538,1,478
NL-HaNA_1.04.02_10539,1,262
NL-HaNA_1.04.02_1054,1,752
NL-HaNA_1.04.02_10540,1,848
NL-HaNA_1.04.02_10541,1,198
NL-HaNA_1.04.02_10542,1,432
NL-HaNA_1.04.02_10543,1,284
NL-HaNA_1.04.02_10544,1,496
NL-HaNA_1.04.02_10545,1,560
NL-HaNA_1.04.02_10546,1,198
NL-HaNA_1.04.02_10547,1,578
NL-HaNA_1.04.02_10548,1,186
NL-HaNA_1.04.02_10549,1,212
NL-HaNA_1.04.02_1055,1,644
NL-HaNA_1.04.02_10550,1,1134
NL-HaNA_1.04.02_10551,1,144
NL-HaNA_1.04.02_10552,1,564
NL-HaNA_1.04.02_10553,1,58
NL-HaNA_1.04.02_10554,1,742
NL-HaNA_1.04.02_10555,1,138
NL-HaNA_1.04.02_10556,1,196
NL-HaNA_1.04.02_10557,1,446
NL-HaNA_1.04.02_10558,1,116
NL-HaNA_1.04.02_10559,1,60
NL-HaNA_1.04.02_1056,1,550
NL-HaNA_1.04.02_10560,1,156
NL-HaNA_1.04.02_10561,1,100
NL-HaNA_1.04.02_10562,1,136
NL-HaNA_1.04.02_10563,1,106
NL-HaNA_1.04.02_10564,1,64
NL-HaNA_1.04.02_10565,1,68
NL-HaNA_1.04.02_10566,1,78
NL-HaNA_1.04.02_10567,1,38
NL-HaNA_1.04.02_10568,1,118
NL-HaNA_1.04.02_10569,1,402
NL-HaNA_1.04.02_1057,1,506
NL-HaNA_1.04.02_10570,1,230
NL-HaNA_1.04.02_10571,1,66
NL-HaNA_1.04.02_10572,1,168
NL-HaNA_1.04.02_10573,1,44
NL-HaNA_1.04.02_10574,1,120
NL-HaNA_1.04.02_10575,1,104
NL-HaNA_1.04.02_10576,1,520
NL-HaNA_1.04.02_10577,1,152
NL-HaNA_1.04.02_10578,1,108
NL-HaNA_1.04.02_10579,1,82
NL-HaNA_1.04.02_1058,1,418
NL-HaNA_1.04.02_10580,1,118
NL-HaNA_1.04.02_10581,1,782
NL-HaNA_1.04.02_10582,1,246
NL-HaNA_1.04.02_10583,1,440
NL-HaNA_1.04.02_10584,1,396
NL-HaNA_1.04.02_10585,1,90
NL-HaNA_1.04.02_10586,1,682
NL-HaNA_1.04.02_10587,1,104
NL-HaNA_1.04.02_10588,1,100
NL-HaNA_1.04.02_10589,1,730
NL-HaNA_1.04.02_1059,1,700
NL-HaNA_1.04.02_10590,1,118
NL-HaNA_1.04.02_10591,1,176
NL-HaNA_1.04.02_10592,1,148
NL-HaNA_1.04.02_10593,1,104
NL-HaNA_1.04.02_10594,1,530
NL-HaNA_1.04.02_10595,1,158
NL-HaNA_1.04.02_10596,1,814
NL-HaNA_1.04.02_10597,1,288
NL-HaNA_1.04.02_10598,1,88
NL-HaNA_1.04.02_10599,1,836
NL-HaNA_1.04.02_1060,1,478
NL-HaNA_1.04.02_10600,1,318
NL-HaNA_1.04.02_10601,1,162
NL-HaNA_1.04.02_10602,1,578
NL-HaNA_1.04.02_10603,1,232
NL-HaNA_1.04.02_10604,1,188
NL-HaNA_1.04.02_10605,1,220
NL-HaNA_1.04.02_10606,1,174
NL-HaNA_1.04.02_10607,1,670
NL-HaNA_1.04.02_10608,1,708
NL-HaNA_1.04.02_10609,1,580
NL-HaNA_1.04.02_1061,1,684
NL-HaNA_1.04.02_10610,1,192
NL-HaNA_1.04.02_10611,1,262
NL-HaNA_1.04.02_10612,1,692
NL-HaNA_1.04.02_10613,1,476
NL-HaNA_1.04.02_10614,1,92
NL-HaNA_1.04.02_10615,1,790
NL-HaNA_1.04.02_10616,1,1176
NL-HaNA_1.04.02_10617,1,518
NL-HaNA_1.04.02_10618,1,684
NL-HaNA_1.04.02_10619,1,1020
NL-HaNA_1.04.02_1062,1,312
NL-HaNA_1.04.02_10620,1,786
NL-HaNA_1.04.02_10621,1,786
NL-HaNA_1.04.02_10622,1,406
NL-HaNA_1.04.02_10623,1,730
NL-HaNA_1.04.02_10624,1,532
NL-HaNA_1.04.02_10625,1,266
NL-HaNA_1.04.02_10626,1,448
NL-HaNA_1.04.02_10627,1,564
NL-HaNA_1.04.02_10628,1,296
NL-HaNA_1.04.02_10629,1,600
NL-HaNA_1.04.02_1063,1,1036
NL-HaNA_1.04.02_10630,1,428
NL-HaNA_1.04.02_10631,1,164
NL-HaNA_1.04.02_10632,1,598
NL-HaNA_1.04.02_10633,1,726
NL-HaNA_1.04.02_10634,1,818
NL-HaNA_1.04.02_10635,1,660
NL-HaNA_1.04.02_10636,1,330
NL-HaNA_1.04.02_10637,1,632
NL-HaNA_1.04.02_10638,1,628
NL-HaNA_1.04.02_10639,1,314
NL-HaNA_1.04.02_1064,1,554
NL-HaNA_1.04.02_10640,1,644
NL-HaNA_1.04.02_10641,1,552
NL-HaNA_1.04.02_10642,1,988
NL-HaNA_1.04.02_10643,1,422
NL-HaNA_1.04.02_10644,1,272
NL-HaNA_1.04.02_10645,1,670
NL-HaNA_1.04.02_10646,1,336
NL-HaNA_1.04.02_10647,1,844
NL-HaNA_1.04.02_10648,1,142
NL-HaNA_1.04.02_10649,1,312
