(house)painter	kladschilder;schilder
lieutenant	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lieutenant der arthillerie	Pl: kapitain luitenant der artillerije;lieutenant der arthillerije;luitenant van de artillerie;luitenant-ingenieur;sousluitenant der artillerie;sousluitenant der artillerij
lieutenant der arthillerije	Pl: kapitain luitenant der artillerije;lieutenant der arthillerie;luitenant van de artillerie;luitenant-ingenieur;sousluitenant der artillerie;sousluitenant der artillerij
lieutenant der militie	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lieutenant militair	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lieutent:	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lieutn:	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lijndraaier	lijndraijer ;rope-maker
lijndraijer 	lijndraaier;rope-maker
liuijtenant	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
liuiten:	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
lock maker	lockmaker;slootemaker;slotenmaker
lockmaker	lock maker;slootemaker;slotenmaker
loog bootsm:	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;oogbootsman
lscorijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;luscorijn
luijt	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtenaent	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtenand	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtenant	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtenant commandant	luijtent: commandant;luitenant-commandant
luijtenant der militie	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtenant militair	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtent:	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant;luytenant militair
luijtent: commandant	luijtenant commandant;luitenant-commandant
luitenant (zeeman)	eerste stuurman;first mate;opperstuurman
luitenant der burgerij	luitenant van de burgerij
luitenant der oosterlingen	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant militair;luitnant ;luytenant;luytenant militair
luitenant militair	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitnant ;luytenant;luytenant militair
luitenant van de artillerie	Pl: kapitain luitenant der artillerije;lieutenant der arthillerie;lieutenant der arthillerije;luitenant-ingenieur;sousluitenant der artillerie;sousluitenant der artillerij
luitenant van de burgerij	luitenant der burgerij
luitenant-commandant	luijtenant commandant;luijtent: commandant
luitenant-ingenieur	Pl: kapitain luitenant der artillerije;lieutenant der arthillerie;lieutenant der arthillerije;luitenant van de artillerie;sousluitenant der artillerie;sousluitenant der artillerij
luitnant 	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luytenant;luytenant militair
luscorijn	lasc:;lascarijn;lascerijn;lascerrij;lascor;lascoreijn;lascorij;lascorijen;lascorijn;lascorijns;lascorin;lascorins;lasecrijn;lask:;laskaar;laskor;laskorijen;laskorijn;lscorijn
luytenant	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant militair
luytenant militair	leuijenant ;leuijtenant;lietenant;lieuten:;lieutenant;lieutenant der militie;lieutenant militair;lieutent:;lieutn:;liuijtenant;liuiten:;luijt;luijtenaent;luijtenand;luijtenant;luijtenant der militie;luijtenant militair;luijtent:;luitenant der oosterlingen;luitenant militair;luitnant ;luytenant
maetroos	matoos;mattroos;sailor
mandadoor	mandur;supervisor of Asian crew members
mandur	mandadoor;supervisor of Asian crew members
manual fire engine maker	brandspuitmaker;brandspuitslangenmaker;fire hose maker
map maker	cartemaker;kaartmaker;mapmaker
mapmaker	cartemaker;kaartmaker;map maker
master-at-arms	provoost
matoos	maetroos;mattroos;sailor
mattroos	maetroos;matoos;sailor
meester	Inlands leermeester;chirugijn;chirurgeijn;chrirugijn;churugeijn;chururgijn;docent;leermeester;sirurgeijn;surgeon
meester knegt den smitswinkel	meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meester knegt der schipstimmerwerf	meesterknecht der scheepstimmerwerf;meesterknegt der scheepstimmerwerf
meester knegt der smits	meester knegt den smitswinkel;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meester knegt der smitswinkel	meester knegt den smitswinkel;meester knegt der smits;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknecht der scheepstimmerwerf	meester knegt der schipstimmerwerf;meesterknegt der scheepstimmerwerf
meesterknecht der smidswinkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknecht der wapenkamer	meesterknegt der wapenkamer
meesterknegt den smits winkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknegt den smitswinkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknegt der scheepstimmerwerf	meester knegt der schipstimmerwerf;meesterknecht der scheepstimmerwerf
meesterknegt der smits winkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknegt der smitswinkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt smits winkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknegt der wapenkamer	meesterknecht der wapenkamer
meesterknegt smits winkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smitswinkel;misterknigt der smids wenken
meesterknegt smitswinkel	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;misterknigt der smids wenken
merchant	commies;coopman;koopm:
merchant's assistant	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;schrijver
messenmaker	knife maker
metselaer	bricklayer;gegagieerden metselaar
meubelmaker	cabinet maker;kastenmaker;schrijnwerker
midshipman	adelborts;aldelborst
midwife	verloskundige
miller	molenaer
minister	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;predicant;predikant
misterknigt der smids wenken	meester knegt den smitswinkel;meester knegt der smits;meester knegt der smitswinkel;meesterknecht der smidswinkel;meesterknegt den smits winkel;meesterknegt den smitswinkel;meesterknegt der smits winkel;meesterknegt der smitswinkel;meesterknegt smits winkel;meesterknegt smitswinkel
mocquadon	mocquodon;mocuddum
mocquodon	mocquadon;mocuddum
mocuddum	mocquadon;mocquodon
molenaer	miller
molenmaker	windmill maker
musician	Muzikanten
nachoda	an-nakhoda;anachoda;annakhoda;nakhuda
nakhuda	an-nakhoda;anachoda;annakhoda;nachoda
navigator	steersman;stuurman
offecier	Militaire officieren;officer;officier
officer	Militaire officieren;offecier;officier
officer responsible for provisioning of soldiers	fourier;quartermaster
officier	Militaire officieren;offecier;officer
onder chirurgijn	onder surigijn;onderchirurgijn;onderchururgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon;second surgeon (orig.: onderchirurgijn)
onder leuijtenant	onder lieutenant ;onderluijtenant ;onderluitenant;second lieutenant (military) ;sousluitenant
onder lieutenant 	onder leuijtenant;onderluijtenant ;onderluitenant;second lieutenant (military) ;sousluitenant
onder mandadoor	second supervisor of Asian crew members
onder surigijn	onder chirurgijn;onderchirurgijn;onderchururgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon;second surgeon (orig.: onderchirurgijn)
onder(scheeps)timmerman	onderscheepstimmerman;ship-carpenter's mate
onderadjudant	adjudant;adjundant
onderbarbier	assistant barber-surgeon;second barber
onderchirurgijn	onder chirurgijn;onder surigijn;onderchururgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon;second surgeon (orig.: onderchirurgijn)
onderchururgijn	onder chirurgijn;onder surigijn;onderchirurgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon;second surgeon (orig.: onderchirurgijn)
ondercoop:	junior merchant;ondercoopan;ondercoopman;onderkoomman;onderkoopman;onderokoopman
ondercoopan	junior merchant;ondercoop:;ondercoopman;onderkoomman;onderkoopman;onderokoopman
ondercoopman	junior merchant;ondercoop:;ondercoopan;onderkoomman;onderkoopman;onderokoopman
onderkanonnier	second cannoneer;second gunner
onderkoomman	junior merchant;ondercoop:;ondercoopan;ondercoopman;onderkoopman;onderokoopman
onderkoopman	junior merchant;ondercoop:;ondercoopan;ondercoopman;onderkoomman;onderokoopman
onderkruijtmaker	onderkruitmaker
onderkruitmaker	onderkruijtmaker
onderkuijper	onderkuiper
onderkuiper	onderkuijper
onderluijtenant 	onder leuijtenant;onder lieutenant ;onderluitenant;second lieutenant (military) ;sousluitenant
onderluitenant	onder leuijtenant;onder lieutenant ;onderluijtenant ;second lieutenant (military) ;sousluitenant
ondermajoor	Onder-major
ondermeester	onder chirurgijn;onder surigijn;onderchirurgijn;onderchururgijn;second medical master (orig.: ondermeester);second surgeon;second surgeon (orig.: onderchirurgijn)
onderokoopman	junior merchant;ondercoop:;ondercoopan;ondercoopman;onderkoomman;onderkoopman
onderscheepstimmerman	onder(scheeps)timmerman;ship-carpenter's mate
ondersergeant	second sergeant
onderstuurman	second mate;tweede stuurman
onderwatermaker	Onder-watermaker;Water-maker's mate
onderzeilmaker	second sail-maker's mate
oogbootsman	boatswain;boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:
operchirurgijn	Opermeester van 's komps: Hospitaal;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
opermeester	Opermeester van 's komps: Hospitaal;operchirurgijn;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
oploper	hoogloper;hooplooper;jong matroos;jongmatroos;junior sailor;juniormatroos
opper koopman	chief merchant;oppercoopman;senior merchant
opperceijlmaaker	chief sailmaker;opperseijlmaker;opperzeilmaker;senior sail maker
oppercheriorgijn	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
opperchigeirgijn	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
opperchirugijn	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
opperchirurgeijn	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgijn;oppermeester;senior medical master;senior surgeon
opperchirurgijn	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;oppermeester;senior medical master;senior surgeon
oppercoopman	chief merchant;opper koopman;senior merchant
opperhoofd	opperhooft
opperhooft	opperhoofd
opperkonstabel	senior weapons master
opperkuijper	baas der kuipers;first cooper;opperkuiper
opperkuiper	baas der kuipers;first cooper;opperkuijper
oppermandoor	first supervisor of Asian crew members;oppermandor
oppermandor	first supervisor of Asian crew members;oppermandoor
oppermeester	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;senior medical master;senior surgeon
opperscheepstimmerman	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;senior ship carpenter
opperschieman	senior boatswain
opperseijlmaker	chief sailmaker;opperceijlmaaker;opperzeilmaker;senior sail maker
opperstuurman	eerste stuurman;first mate;luitenant (zeeman)
oppertemmerman	baas der timmermannen;oppertimmerman
oppertimmerman	baas der timmermannen;oppertemmerman
opperwatermaker	senior water maker
opperzeilmaker	chief sailmaker;opperceijlmaaker;opperseijlmaker;senior sail maker
opsiender	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender der houtthuijn;opziender;opziener
opsiender der houtthuijn	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opziender;opziener
opziender	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziener
opziener	Opsiender der houtthuin;Opsiender der scheeps timmerwerff;Opsiender der scheepstimmerwerf;Opsiender der wapencamer;Opziender van de Smitswinkel;opsiender;opsiender der houtthuijn;opziender
orderserjant	gegagieerd sergeant;segeant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
paater	Francisca pater;Franciscand pater;pater
pachter	belastingpachter;pagter
packhuijsmeester	pakhuijsmeester;pakhuismeester
pagter	belastingpachter;pachter
pakhuijsmeester	packhuijsmeester;pakhuismeester
pakhuismeester	packhuijsmeester;pakhuijsmeester
panical	paniken;panikkar
paniken	panical;panikkar
panikkar	panical;paniken
pannebakker	baas der pannebakkers;baas der pannenbakkers;pannenbakker
pannenbakker	pannebakker
pater	Francisca pater;Franciscand pater;paater
peijper	fluiter;piper
penist	penneest;penniset;pennish;pennist;pinnest
penneest	penist;penniset;pennish;pennist;pinnest
penniset	penist;penneest;pennish;pennist;pinnest
pennish	penist;penneest;penniset;pennist;pinnest
pennist	penist;penneest;penniset;pennish;pinnest
pinnest	penist;penneest;penniset;pennish;pennist
piper	fluiter;peijper
politique bedienden	Administration and government
posth:	posthou;posthoud;posthouder;posthouderen;posthouderer;psthouder
posthou	posth:;posthoud;posthouder;posthouderen;posthouderer;psthouder
posthoud	posth:;posthou;posthouder;posthouderen;posthouderer;psthouder
posthouder	posth:;posthou;posthoud;posthouderen;posthouderer;psthouder
posthouderen	posth:;posthou;posthoud;posthouder;posthouderer;psthouder
posthouderer	posth:;posthou;posthoud;posthouder;posthouderen;psthouder
predicant	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predikant
predikant	bedienaar der goddelijken woord;bedienaar der goddelijken woords;bedienaar des goddelijken woords;bedienaar des goddelijken woorts;bedienaar des godelijker woords;bedienaar des godelijkse woords;bedinaar des goddelijken woords;bedinaar des goddelijken woorts;bedinaar des goddelijks woorts;dominee;minister;predicant
premier luitenant	eerste luitenant
prosecutor	fiscaal;fiscael;fiskaal
provoost	master-at-arms
provoost geweldige	geweldige;geweldige provoost;geweldiger;gewelliger
psthouder	posth:;posthou;posthoud;posthouder;posthouderen;posthouderer
quaertiermeester	quartermaster;quartierm:;quartiermeester
quarnisoenschrijver	garnisoenschrijver;garnizoenschrijver;guarnesoen schrijver;guarni soen schrijver;guarniesoen schrijver;guarnisoen schrijver;guarnisoenschrijver;guarrisoen schrijver
quartermaster	fourier;officer responsible for provisioning of soldiers;quaertiermeester;quartierm:;quartiermeester
quartierm:	quaertiermeester;quartermaster;quartiermeester
quartiermeester	quaertiermeester;quartermaster;quartierm:
raad extra ordinair van India 	Raad van Indië;Raad van Nederlandse India;extraordinaris raedt van india;lid van de Raad van Indië
rademaker	wheel maker
reisdent	resdt:;residen;residend;resident;resiedent;ressitend;rezident
resdt:	reisdent;residen;residend;resident;resiedent;ressitend;rezident
residen	reisdent;resdt:;residend;resident;resiedent;ressitend;rezident
residend	reisdent;resdt:;residen;resident;resiedent;ressitend;rezident
resident	reisdent;resdt:;residen;residend;resiedent;ressitend;rezident
resiedent	reisdent;resdt:;residen;residend;resident;ressitend;rezident
ressitend	reisdent;resdt:;residen;residend;resident;resiedent;rezident
rezident	reisdent;resdt:;residen;residend;resident;resiedent;ressitend
ritmeester	cavalry captain
roerslotenmaker	slotenmaker
rope-maker	lijndraaier;lijndraijer 
sabandaar	shabandaar;sjabandaar;sjahbandar
sadelmaaker	sadelmaeker;sadelmaker;zadelmaaker;zadelmaker
sadelmaeker	sadelmaaker;sadelmaker;zadelmaaker;zadelmaker
sadelmaker	sadelmaaker;sadelmaeker;zadelmaaker;zadelmaker
sail maker	seijlmaker;sseijlmaker;zeijlmaker;zeilmaker;zeylemaker;zijlemaker
sailor	maetroos;matoos;mattroos
sarang	sarangie;serang
sarangie	sarang;serang
sarbadikariakaar	Sarawadi;Sarawadij;Sarwadi;Sarwadi Karyakkaran
schedemaker	scheedemaker
scheedemaker	schedemaker
scheeps timmerman	scheeptimmerman;schipstimmerman;ship carpenter;ship's carpenter
scheepscorporaal	scheepskorporaal;ship corporal
scheepskorporaal	scheepscorporaal;ship corporal
scheeptimmerman	scheeps timmerman;schipstimmerman;ship carpenter;ship's carpenter
scherprechter	beul;scherpregter
scherpregter	beul;scherprechter
schieman	boatswain (foremast);schiemand;tweede bootsman
schiemand	boatswain (foremast);schieman;tweede bootsman
schiemansmaat	boatswain's mate (foremast);schiemansmaet;schimansmaat;tweede schieman
schiemansmaet	boatswain's mate (foremast);schiemansmaat;schimansmaat;tweede schieman
schilder	(house)painter;kladschilder
schimansmaat	boatswain's mate (foremast);schiemansmaat;schiemansmaet;tweede schieman
schipheer	gezagvoerder;schipper
schipper	gezagvoerder;schipheer
schipstimmerman	scheeps timmerman;scheeptimmerman;ship carpenter;ship's carpenter
schriba	schribent;scriba;scribent
schribent	schriba;scriba;scribent
schrijnwerker	cabinet maker;kastenmaker;meubelmaker
schrijver	absolut assistent;absoluut assistent;adsistend;adsistendt;adsistent;adssistent;adssitend;asdsistent;asiestend;asistent;assistant;assistant to the (chief) merchant;assistend;assistendt;assistent;merchant's assistant
scriba	schriba;schribent;scribent
scribent	schriba;schribent;scriba
seaman	bootsgesel;chinese seaman
second barber	assistant barber-surgeon;onderbarbier
second barber-surgeon	tweede barbier
second cannoneer	onderkanonnier;second gunner
second gunner	onderkanonnier;second cannoneer
second lance-corporal	tweede lanspassaat
second lieutenant (military)	tweede luitenant
second lieutenant (military) 	onder leuijtenant;onder lieutenant ;onderluijtenant ;onderluitenant;sousluitenant
second mate	onderstuurman;tweede stuurman
second medical master (orig.: ondermeester)	onder chirurgijn;onder surigijn;onderchirurgijn;onderchururgijn;ondermeester;second surgeon;second surgeon (orig.: onderchirurgijn)
second sail maker	tweede zeilmaker
second sail-maker's mate	onderzeilmaker
second sergeant	ondersergeant
second supervisor of Asian crew members	onder mandadoor
second surgeon	onder chirurgijn;onder surigijn;onderchirurgijn;onderchururgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon (orig.: onderchirurgijn);tweede meester
second surgeon (orig.: onderchirurgijn)	onder chirurgijn;onder surigijn;onderchirurgijn;onderchururgijn;ondermeester;second medical master (orig.: ondermeester);second surgeon
second-surgeon's mate	tweede onderchirurgijn
secretaris	secrets:
secrets:	secretaris
secund	hoofd administrateur;hoofd-administrateur;hoofdadministrateur;koopadministrateur;secunde;sekunde
secunde	hoofd administrateur;hoofd-administrateur;hoofdadministrateur;koopadministrateur;secund;sekunde
segeant	gegagieerd sergeant;orderserjant;sergeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
seijlmaker	sail maker;sseijlmaker;zeijlmaker;zeilmaker;zeylemaker;zijlemaker
sekunde	hoofd administrateur;hoofd-administrateur;hoofdadministrateur;koopadministrateur;secund;secunde
senior barber-surgeon	senior barbier
senior barbier	senior barber-surgeon
senior boatswain	opperschieman
senior medical master	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior surgeon
senior merchant	chief merchant;opper koopman;oppercoopman
senior sail maker	chief sailmaker;opperceijlmaaker;opperseijlmaker;opperzeilmaker
senior ship carpenter	Baas Scheeps Timmerm;baas der scheepstimmerlieden;baas der scheepstimmermannen;baas der scheepstimmerwerf;baas der scheeptimmerlieden;baas der schipstimmerwerf;opperscheepstimmerman
senior surgeon	Opermeester van 's komps: Hospitaal;operchirurgijn;opermeester;oppercheriorgijn;opperchigeirgijn;opperchirugijn;opperchirurgeijn;opperchirurgijn;oppermeester;senior medical master
senior water maker	opperwatermaker
senior weapons master	opperkonstabel
sepai	siapij;sipahi;sipai;sipaij;sipair;sipais;siphahis;siphai;siphaij;sippaijs
serang	sarang;sarangie
sergant der blanke burgerij	sergeant der blanke burgerije;sergeant van de burgerij;sergiant der blanke burgerije
sergeant	gegagieerd sergeant;orderserjant;segeant;sergiaant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
sergeant der blanke burgerije	sergant der blanke burgerij;sergeant van de burgerij;sergiant der blanke burgerije
sergeant majoor	sergeant-majoor
sergeant van de burgerij	sergant der blanke burgerij;sergeant der blanke burgerije;sergiant der blanke burgerije
sergeant-majoor	sergeant majoor
sergiaant	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaent;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
sergiaent	gegagieerd sergeant;orderserjant;segeant;sergeant;sergiaant;sergiand;sergiant;serginat;sergt:;serishant;serjant;zergeant;zergiand;zergiant;zergt:
