(house)painter	kladschilder;schilder
blokmaakers gesel	blokmakersgezel
blokmakersgezel	blokmaakers gesel
boatswain	boodsmaen;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
boatswain (foremast)	schieman;schiemand;tweede bootsman
boatswain's mate	boosmansmaet;bootsmanmaat;bootsmansmaat;first boatswain's mate;hoogbootsmansmaat
boatswain's mate (foremast)	schiemansmaat;schiemansmaet;schimansmaat;tweede schieman
bode	bood;boode
boekh:	boekhouden;boekouder;bookkeeper;boukhouder
boekhouden	boekh:;boekouder;bookkeeper;boukhouder
boekouder	boekh:;boekhouden;bookkeeper;boukhouder
bombaardier	bombardier;bombardir;bombardur
bombardier	bombaardier;bombardir;bombardur
bombardir	bombaardier;bombardier;bombardur
bombardur	bombaardier;bombardier;bombardir
bood	bode;boode
boode	bode;bood
boodsmaen	boatswain;boodsman;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
boodsman	boatswain;boodsmaen;boosman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
bookkeeper	boekh:;boekhouden;boekouder;boukhouder
boomteler	boomteller
boomteller	boomteler
boorde	boorder;gegagieerden boorder
boorder	boorde;gegagieerden boorder
boormaker	drill maker
boosman	boatswain;boodsmaen;boodsman;boostman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
boosmansmaet	boatswain's mate;bootsmanmaat;bootsmansmaat;first boatswain's mate;hoogbootsmansmaat
boostman	boatswain;boodsmaen;boodsman;boosman;bootsman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
bootsgesel	chinese seaman;seaman
bootsman	boatswain;boodsmaen;boodsman;boosman;boostman;first boatswain;gegagieerd bootsman;hoog bootsman;hoogbootsman;loog bootsm:;oogbootsman
bootsmanmaat	boatswain's mate;boosmansmaet;bootsmansmaat;first boatswain's mate;hoogbootsmansmaat
bootsmansmaat	boatswain's mate;boosmansmaet;bootsmanmaat;first boatswain's mate;hoogbootsmansmaat
boschieter	bosgieter;bosschier;bosschieter;bosschiter;busschieter
boschwachter	boswachter
bosgieter	boschieter;bosschier;bosschieter;bosschiter;busschieter
bosschier	boschieter;bosgieter;bosschieter;bosschiter;busschieter
bosschieter	boschieter;bosgieter;bosschier;bosschiter;busschieter
bosschiter	boschieter;bosgieter;bosschier;bosschieter;busschieter
bossemaker	bussemaker
boswachter	boschwachter
