synde	52
soldij	52
sluijten	52
residentie	52
ponden	52
neemt	52
narigt	52
maal	52
javaanse	52
iaar	52
hoewel	52
gemeen	52
gelt	52
eerw	52
beste	52
belangen	52
andersints	52
adij	52
vrunden	51
verklaring	51
vaderland	51
touw	51
regent	51
qualificatie	51
politie	51
pak	51
nooijt	51
nood	51
hoogsten	51
gr	51
genegen	51
gemoet	51
gedaane	51
doch	51
desselvs	51
coopmansz	51
aangesteld	51
aanbreng	51
wes	50
vijanden	50
vervoerd	50
vertrokken	50
verlooren	50
uijtterste	50
tutucorijn	50
teweten	50
somme	50
retour	50
penningen	50
korte	50
jtem	50
gemonteerd	50
gelyk	50
gekregen	50
gebracht	50
doenlijk	50
diensten	50
conclusie	50
vloot	49
verstrekte	49
thin	49
reparatie	49
particuliere	49
onkost	49
minsten	49
meesters	49
manschap	49
kleen	49
jnlandse	49
halen	49
gecommitt	49
effecten	49
eerder	49
casteels	49
canon	49
bonij	49
aangenomen	49
woord	48
welck	48
wagt	48
voordeel	48
voldoening	48
verleenen	48
transport	48
toen	48
soldaten	48
silver	48
rx	48
ring	48
onkosten	48
onderdanig	48
negorijen	48
ma	48
leggers	48
kostende	48
inhoud	48
hoopen	48
heijt	48
gestelde	48
ged.e	48
gedateerd	48
dito	48
derwaards	48
deel	48
daartoe	48
coopl	48
con	48
compagnie	48
banda	48
aankomst	48
zoldij	47
woonplaats	47
wie	47
volkomen	47
voeren	47
versoeke	47
trouw	47
teegens	47
suijker	47
seijde	47
schrijver	47
punt	47
planken	47
pen	47
passeeren	47
opneem	47
oft	47
noten	47
moest	47
maenden	47
komste	47
jongstleden	47
hulpe	47
hoogheijd	47
gerigt	47
gemonteert	47
geduurende	47
gecomen	47
colombo	47
buiten	47
bequaam	47
vrijheijd	46
voortaan	46
vertrekken	46
verstaen	46
versien	46
vander	46
sergeant	46
rust	46
rop	46
regen	46
raade	46
quade	46
pro	46
padij	46
overleeden	46
overgaan	46
origineele	46
omdat	46
noord	46
niemand	46
materie	46
maleijer	46
ligt	46
konings	46
java	46
einde	46
drij	46
copie	46
bieden	46
betaald	46
toegestaan	45
tijde	45
schuijt	45
rd=s	45
presentie	45
potten	45
plaetse	45
maakt	45
ja	45
instructie	45
inkoop	45
gesegde	45
conings	45
betuijgen	45
besorgen	45
bengaalse	45
balken	45
aparte	45
ao	45
almeede	45
wijze	44
weijnige	44
weet	44
vorderen	44
vollen	44
verzoeken	44
thien	44
tewerden	44
teegen	44
sware	44
slaan	44
samarang	44
pattena	44
oordeelen	44
oordeel	44
moesten	44
moeijte	44
maert	44
keeren	44
jaeren	44
ingevalle	44
gouvernement	44
goude	44
gevoelen	44
geval	44
getek	44
gebruijken	44
custe	44
compareerde	44
chirurgijn	44
cabo	44
weshalven	43
waarts	43
vroeg	43
volgt	43
vervallen	43
verleende	43
thuijs	43
stil	43
schuld	43
request	43
permissie	43
overgaande	43
oppercoopman	43
occasie	43
nogtans	43
margine	43
jk	43
huijsvrouw	43
edelheeden	43
daan	43
commissaris	43
blijvende	43
bewijsen	43
bevinden	43
besteld	43
antwoorde	43
an	43
adriaen	43
zilver	42
wilden	42
volle	42
tussen	42
toegebragt	42
snaphanen	42
onderkoopman	42
ondergetekende	42
nadien	42
munt	42
maend	42
liever	42
klagten	42
insgelijx	42
houdende	42
hoge	42
gunste	42
geweld	42
gevalle	42
gants	42
etc	42
diende	42
chineese	42
bengale	42
belofte	42
alwaer	42
afschrijven	42
winden	41
wijd	41
waerheijt	41
vriend	41
voorgeven	41
voorgevallen	41
verleent	41
verlaten	41
varen	41
vaart	41
tedoen	41
procureur	41
pagt	41
overstaan	41
negen	41
loopen	41
leverantie	41
lands	41
koper	41
joan	41
inkomsten	41
hunner	41
hope	41
her	41
genoten	41
dra	41
deeses	41
comps	41
cap	41
aangehouden	41
zuijd	40
zeijlen	40
zeijde	40
wiens	40
vaartuigen	40
vaartuig	40
vaar	40
uijtkoops	40
ued=le	40
tegenwoordig	40
stuurman	40
sigh	40
schuldig	40
schriftelijk	40
roode	40
residenten	40
regeringe	40
pass=o	40
nachoda	40
lijden	40
lant	40
kalk	40
handelen	40
geslooten	40
genoomen	40
gemaeckt	40
geleegen	40
gedurende	40
ged=te	40
gedateert	40
febr	40
et	40
engels	40
eijs	40
derselve	40
communicatie	40
ampt	40
wooning	39
waermede	39
vorsten	39
verpligt	39
twijffelen	39
thol	39
telkens	39
sy	39
soodanigen	39
snaph	39
rond	39
rolle	39
raed	39
oog	39
ontsien	39
ondergesz	39
naa	39
meerdere	39
maleijts	39
kist	39
jaers	39
huijden	39
hof	39
ging	39
geschreeven	39
gens	39
gedoente	39
gebleeken	39
ge=	39
frans	39
edel	39
deezen	39
dagelijx	39
dach	39
cochim	39
christiaan	39
bruijn	39
boomen	39
beoogen	39
belooft	39
annex	39
altijd	39
afgegeven	39
abraham	39
waarvan	38
voldoeninge	38
vervat	38
vermeld	38
vereijschte	38
verband	38
steenen	38
soodanig	38
schulden	38
pr	38
noteeren	38
no	38
nedrige	38
nedrig	38
morgens	38
moogen	38
maat	38
laasten	38
keijser	38
jegens	38
instantie	38
hopen	38
herwaerts	38
heren	38
gezien	38
gevordert	38
gevende	38
get	38
gelieve	38
gehadt	38
gearriveerd	38
dienvolgende	38
c=to	38
brengende	38
bedeelen	38
becomen	38
andwoord	38
aller	38
afgegaan	38
zy	37
zoodanig	37
wijlen	37
vonden	37
vereijscht	37
vandien	37
vand	37
succes	37
stont	37
stoffen	37
staen	37
speculatie	37
sodanigen	37
slegt	37
restant	37
reede	37
raet	37
presente	37
presentatie	37
pantjallang	37
oordeelt	37
ontslagen	37
onmogelijk	37
nieuwen	37
me	37
lieten	37
kiel	37
inkoops	37
huijse	37
hoek	37
gouvern	37
gewigt	37
getrocken	37
geschrift	37
gesamentlijk	37
geensints	37
drijven	37
comt	37
comptoire	37
buyten	37
briefjes	37
beladen	37
bedragende	37
baas	37
arrest	37
zout	36
wezen	36
weest	36
wapenen	36
waarop	36
waardig	36
voorzien	36
volg	36
vergaderinge	36
verandering	36
uijtslag	36
tragten	36
teerd	36
successive	36
stuijvers	36
stand	36
spreeken	36
seggende	36
schrift	36
sake	36
rs	36
rijcxd=rs	36
rest	36
reedenen	36
pees	36
opregte	36
onbequaam	36
noorder	36
negorije	36
melden	36
manschappen	36
lopende	36
lijke	36
latende	36
korten	36
koop	36
jntje	36
hant	36
gewonnen	36
gevenereerde	36
gevaar	36
gelegentheijt	36
gedient	36
fiscael	36
engelsen	36
eijss	36
effect	36
dubbelde	36
district	36
dienaeren	36
daarop	36
bijsonder	36
beneden	36
belang	36
begeerte	36
avonds	36
arbeijden	36
apart	36
alhoewel	36
winkel	35
wenschen	35
voornemen	35
visite	35
verzonden	35
vertoond	35
verkoopen	35
tyd	35
tekort	35
tegendeel	35
stukken	35
specificatie	35
sloep	35
secunde	35
qualijk	35
peeper	35
passen	35
pang	35
ouden	35
ordonneert	35
ord	35
oogmerk	35
namen	35
naem	35
naderhand	35
matroos	35
maten	35
legt	35
kogels	35
kannen	35
javanen	35
hunnen	35
gout	35
gesag	35
geroepen	35
geringe	35
gemerkt	35
geladen	35
gaders	35
extracten	35
dirk	35
costij	35
brand	35
boekjes	35
bijde	35
berustende	35
bereeds	35
afge	35
advijs	35
zulke	34
wiert	34
werck	34
weezen	34
vaertuijg	34
resolutien	34
relaas	34
posten	34
parthijen	34
overgekomen	34
onderstuurman	34
onderhouden	34
nagapatnam	34
mo	34
mitsg=s	34
mitsgad	34
mallabaar	34
maleijers	34
lopen	34
kwam	34
koningen	34
ijzer	34
ijser	34
hoede	34
gewoone	34
gevoegde	34
geselschap	34
gelasten	34
gehoorsamen	34
gegaen	34
gediend	34
gaf	34
eijschte	34
deren	34
cours	34
command	34
canons	34
can	34
betaalt	34
beloften	34
as	34
andries	34
andre	34
wer	33
wan	33
waare	33
vrije	33
voornamentlijk	33
voert	33
veroorsaakt	33
tonnen	33
toekomen	33
tgeen	33
swaare	33
strand	33
sorge	33
sich	33
schooten	33
schepenen	33
salpeter	33
respective	33
raken	33
raaden	33
partij	33
overgebragt	33
originele	33
omstandig	33
nam	33
muur	33
moors	33
meesten	33
mattroos	33
maan	33
ko	33
kamer	33
johan	33
intusschen	33
huijsen	33
heid	33
gewoon	33
gevolge	33
gesondene	33
gesanten	33
geoordeelt	33
genieten	33
gelieft	33
gantsch	33
gaarne	33
elders	33
dorp	33
continueeren	33
bier	33
bereijd	33
belast	33
bedraagen	33
attestanten	33
arriveerd	33
amboina	33
ad	33
accordeerd	33
aanstonds	33
aangebragte	33
waarde	32
vrundschap	32
vertreck	32
vernemen	32
verhopen	32
verbruijkt	32
vens	32
swaar	32
schap	32
regten	32
redelijk	32
pions	32
openen	32
open	32
noemen	32
mond	32
maleijtse	32
makelaar	32
majesteijt	32
licentie	32
lande	32
iustitie	32
houte	32
houglij	32
hollands	32
helft	32
gevoegd	32
geteeckent	32
gehoorende	32
gegeeven	32
geeijschte	32
fortresse	32
ernstig	32
enden	32
eenigsints	32
edog	32
diend	32
deur	32
blyven	32
besijden	32
beletten	32
beeter	32
baros	32
alvorens	32
acht	32
zijden	31
zake	31
wijsen	31
vrede	31
voorschreven	31
voordeelen	31
verseld	31
vereijste	31
verclaert	31
vaten	31
ult=o	31
tolk	31
tijding	31
temogen	31
steen	31
sints	31
sessie	31
seker	31
schult	31
schenkagie	31
ruwe	31
quaad	31
poeder	31
p=mo	31
personen	31
passagiers	31
oversulx	31
opt	31
opsigte	31
opgem	31
oogen	31
ondersoek	31
nicolaas	31
maeken	31
ladinge	31
kregen	31
kettingh	31
kerk	31
jong	31
jnwoonder	31
iulij	31
inwoonders	31
inlanders	31
inlander	31
holl	31
heele	31
halff	31
haaren	31
gewone	31
gelevert	31
geenen	31
gedagt	31
gebroken	31
gebleken	31
fredrik	31
fine	31
eysch	31
es	31
edelheijd	31
doorgaans	31
coopmanschappen	31
coopluijden	31
consideratie	31
brenger	31
br	31
behoorde	31
bantam	31
arresteerd	31
alvoorens	31
agting	31
afgaan	31
acte	31
aankomende	31
wijnig	30
wapen	30
waarheijt	30
vrund	30
vrienden	30
voldaen	30
vervoeren	30
verslag	30
verkogte	30
tuijgen	30
tegeven	30
sulke	30
stel	30
ste	30
saak	30
rijx	30
regte	30
rakende	30
raads	30
plaetsen	30
passado	30
ordinair	30
onlangs	30
ondervolgende	30
noodsakelijk	30
noodige	30
noijt	30
navolgens	30
militie	30
maakte	30
lengte	30
koopmanschappen	30
klaar	30
jongen	30
johannes	30
jansz	30
inge	30
ijver	30
graan	30
goa	30
gevangens	30
gemaakte	30
gelegt	30
gedrag	30
gecondemneert	30
gearriveert	30
france	30
fort	30
expeditie	30
europeese	30
eijsschen	30
eijge	30
dogter	30
digt	30
deezer	30
collegie	30
ceram	30
bevelen	30
betalinge	30
bestier	30
berg	30
bereets	30
aengekomen	30
actie	30
wordende	29
werpen	29
vrugteloos	29
vrouwe	29
voorgaande	29
vind	29
vermindert	29
verloren	29
verklaren	29
verhoopen	29
tijdt	29
straat	29
sonden	29
sondag	29
slot	29
segt	29
scheen	29
schaars	29
saturdag	29
restanten	29
rendement	29
reeck	29
paarden	29
opperstuurman	29
ootmoedige	29
oorlogs	29
natien	29
nat	29
meergem	29
malkanderen	29
makende	29
los	29
japan	29
indiase	29
inder	29
herten	29
grootste	29
gouver	29
gingen	29
gevolgen	29
gestrengen	29
gering	29
gehoudene	29
gebreken	29
expresselijk	29
eijss=rs	29
eerstelijk	29
edelheijt	29
dienaer	29
derwaerts	29
datter	29
daerom	29
daarmede	29
chitsen	29
catjes	29
ca	29
brigantijn	29
boom	29
betaelt	29
benodigde	29
althans	29
agteren	29
afschrift	29
zoodanige	28
wijs	28
wax	28
versoeck	28
verschil	28
verklaringen	28
vaandrig	28
trouwe	28
togt	28
toebehorende	28
tesamen	28
subject	28
stver	28
staende	28
st	28
soorten	28
snaphaan	28
slegte	28
slag	28
siekte	28
segge	28
schippers	28
schieten	28
ropijen	28
retouren	28
quartiermeester	28
plaat	28
pattij	28
panglima	28
overwogen	28
ouderdom	28
order	28
ontwaard	28
ontboden	28
ontbieden	28
officier	28
nelij	28
nabab	28
moetende	28
maniere	28
mael	28
lijwaat	28
levens	28
leijden	28
kann	28
japara	28
jacht	28
intrest	28
honderd	28
gunstig	28
geschut	28
gerugten	28
geresumeert	28
gereet	28
gemeente	28
gelievende	28
gelegentheijd	28
gekreegen	28
gegevene	28
gebied	28
gaende	28
eynde	28
dig	28
denzelven	28
deelen	28
dagh	28
dagelijks	28
corporaal	28
contracten	28
briefken	28
bouw	28
bosch	28
bomen	28
bevondene	28
bergen	28
belet	28
behoeven	28
bank	28
afscheijd	28
achter	28
aansien	28
zuijder	27
zegen	27
zeevarende	27
wille	27
west	27
weesmeesteren	27
vreese	27
verzogt	27
verw=r	27
verwagt	27
vertrok	27
verthoond	27
verschenen	27
uijterste	27
tweeden	27
tesenden	27
temaken	27
